epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92127,2.31297,4.27153,1.37104,0.00301,0.10744,0.00188,0.00048,1.45583,3.95048,1.02656,0.00015003,0.00015003,0.00015003
2,8.89703,1.68239,4.01482,0.99811,0.00795,0.29752,0.00568,0.0021,1.40233,3.73635,0.89528,0.00031464,0.00031464,0.00031464
3,12.204,1.22246,3.35366,0.88904,0.0073,0.2562,0.00975,0.00339,1.02162,3.70835,0.82811,0.000477049,0.000477049,0.000477049
4,15.2417,1.29704,2.98583,0.87856,0.00917,0.33058,0.09091,0.03207,0.96052,3.58518,0.81052,0.000637257,0.000637257,0.000637257
5,18.668,1.05224,2.21219,0.86256,0.00917,0.33058,0.09091,0.03207,0.96052,3.58518,0.81052,0.000795266,0.000795266,0.000795266
6,22.1785,1.11115,1.80686,0.86658,0.01742,0.60331,0.4058,0.18265,0.96195,3.16593,0.82922,0.000951074,0.000951074,0.000951074
7,25.7086,1.23713,1.79028,0.90145,0.01742,0.60331,0.4058,0.18265,0.96195,3.16593,0.82922,0.00110468,0.00110468,0.00110468
8,29.0718,1.26381,1.73765,0.8802,0.99385,0.79339,0.95379,0.60811,1.19982,1.88904,0.88264,0.00125609,0.00125609,0.00125609
9,32.3517,1.23148,1.6458,0.8979,0.99385,0.79339,0.95379,0.60811,1.19982,1.88904,0.88264,0.00140529,0.00140529,0.00140529
10,35.6296,1.3806,1.8717,0.94391,0.99385,0.79339,0.95379,0.60811,1.19982,1.88904,0.88264,0.0015523,0.0015523,0.0015523
11,38.9882,1.3052,1.87669,0.92878,0.99385,0.79339,0.95379,0.60811,1.19982,1.88904,0.88264,0.00155698,0.00155698,0.00155698
12,42.3764,1.24099,1.80424,0.89079,0.81993,0.66942,0.79151,0.56121,1.0587,1.80014,0.85222,0.00154598,0.00154598,0.00154598
13,45.5686,1.14946,2.03927,0.92123,0.81993,0.66942,0.79151,0.56121,1.0587,1.80014,0.85222,0.00153497,0.00153497,0.00153497
14,49.0465,1.14948,1.81039,0.89289,0.81993,0.66942,0.79151,0.56121,1.0587,1.80014,0.85222,0.00152397,0.00152397,0.00152397
15,52.433,1.26588,2.01044,0.89947,0.89142,0.73554,0.85257,0.60247,1.0571,1.5197,0.85558,0.00151297,0.00151297,0.00151297
16,55.776,1.20318,1.81068,0.88385,0.89142,0.73554,0.85257,0.60247,1.0571,1.5197,0.85558,0.00150197,0.00150197,0.00150197
17,59.1728,1.21838,1.84204,0.91094,0.89142,0.73554,0.85257,0.60247,1.0571,1.5197,0.85558,0.00149096,0.00149096,0.00149096
18,62.4167,1.20017,1.62816,0.88964,0.91768,0.95868,0.9863,0.63771,1.06336,1.88822,0.8618,0.00147996,0.00147996,0.00147996
19,66.0632,1.22906,1.6786,0.89309,0.91768,0.95868,0.9863,0.63771,1.06336,1.88822,0.8618,0.00146896,0.00146896,0.00146896
20,69.8438,1.29631,1.79081,0.94851,0.91768,0.95868,0.9863,0.63771,1.06336,1.88822,0.8618,0.00145796,0.00145796,0.00145796
21,73.9096,1.33529,1.47941,0.90158,0.94155,0.93199,0.98486,0.61244,1.07132,2.02379,0.86539,0.00144696,0.00144696,0.00144696
22,77.3992,1.13176,1.70937,0.91358,0.94155,0.93199,0.98486,0.61244,1.07132,2.02379,0.86539,0.00143595,0.00143595,0.00143595
23,81.2985,1.13772,1.6869,0.89333,0.94155,0.93199,0.98486,0.61244,1.07132,2.02379,0.86539,0.00142495,0.00142495,0.00142495
24,85.834,1.20787,1.54285,0.90935,0.9735,0.96694,0.98272,0.71957,0.96294,1.32396,0.84524,0.00141395,0.00141395,0.00141395
25,89.6753,1.01252,1.38427,0.86511,0.9735,0.96694,0.98272,0.71957,0.96294,1.32396,0.84524,0.00140295,0.00140295,0.00140295
26,92.9895,1.01786,1.45036,0.85764,0.9735,0.96694,0.98272,0.71957,0.96294,1.32396,0.84524,0.00139195,0.00139195,0.00139195
27,96.1193,1.07561,1.38893,0.87554,0.9735,0.96694,0.98272,0.71957,0.96294,1.32396,0.84524,0.00138094,0.00138094,0.00138094
28,99.259,1.15788,1.35644,0.91694,0.98838,0.94215,0.98936,0.7018,0.99251,1.04517,0.84757,0.00136994,0.00136994,0.00136994
29,102.455,1.24377,1.4069,0.89134,0.98838,0.94215,0.98936,0.7018,0.99251,1.04517,0.84757,0.00135894,0.00135894,0.00135894
30,105.502,1.24543,1.39455,0.89957,0.98838,0.94215,0.98936,0.7018,0.99251,1.04517,0.84757,0.00134794,0.00134794,0.00134794
31,108.706,1.07631,1.28513,0.86844,0.99763,0.95868,0.98816,0.75183,0.86367,0.89396,0.83162,0.00133693,0.00133693,0.00133693
32,112.135,0.95855,1.18341,0.86668,0.99763,0.95868,0.98816,0.75183,0.86367,0.89396,0.83162,0.00132593,0.00132593,0.00132593
33,115.58,1.08229,1.30471,0.86464,0.99763,0.95868,0.98816,0.75183,0.86367,0.89396,0.83162,0.00131493,0.00131493,0.00131493
34,118.877,0.99352,1.195,0.85419,0.99151,0.9654,0.99373,0.74746,0.86841,0.81175,0.83165,0.00130393,0.00130393,0.00130393
